"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CPI","TOT","AGRWTH","M","2015-04",0.07984032,
"FRA","CPI","TOT","AGRWTH","M","2015-05",0.2993414,
"FRA","CPI","TOT","AGRWTH","M","2015-06",0.2595328,
"FRA","CPI","TOT","AGRWTH","M","2015-07",0.1702383,
"FRA","CPI","TOT","AGRWTH","M","2015-08",0.04985045,
"FRA","CPI","TOT","AGRWTH","M","2015-09",0.03002402,
"FRA","CPI","TOT","AGRWTH","M","2015-10",0.06003001,
"FRA","CPI","TOT","AGRWTH","M","2015-11",0.0400882,
"FRA","CPI","TOT","AGRWTH","M","2015-12",0.1802524,
"FRA","CPI","TOT","AGRWTH","M","2016-01",0.2225369,
"FRA","CPI","TOT","AGRWTH","M","2016-02",-0.1909164,
"FRA","CPI","TOT","AGRWTH","M","2016-03",-0.1497454,
"FRA","CPI","TOT","AGRWTH","M","2016-04",-0.1894695,
"FRA","CPI","TOT","AGRWTH","M","2016-05",-0.01989654,
"FRA","CPI","TOT","AGRWTH","M","2016-06",0.1891677,
"FRA","CPI","TOT","AGRWTH","M","2016-07",0.219934,
"FRA","CPI","TOT","AGRWTH","M","2016-08",0.2291978,
"FRA","CPI","TOT","AGRWTH","M","2016-09",0.3901951,
"FRA","CPI","TOT","AGRWTH","M","2016-10",0.359964,
"FRA","CPI","TOT","AGRWTH","M","2016-11",0.5309557,
"FRA","CPI","TOT","AGRWTH","M","2016-12",0.6097561,
"FRA","CPI","TOT","AGRWTH","M","2017-01",1.34235,
"FRA","CPI","TOT","AGRWTH","M","2017-02",1.208094,
"FRA","CPI","TOT","AGRWTH","M","2017-03",1.14977,
"FRA","CPI","TOT","AGRWTH","M","2017-04",1.168948,
"FRA","CPI","TOT","AGRWTH","M","2017-05",0.8059701,
"FRA","CPI","TOT","AGRWTH","M","2017-06",0.6856802,
"FRA","CPI","TOT","AGRWTH","M","2017-07",0.7182045,
"FRA","CPI","TOT","AGRWTH","M","2017-08",0.9047524,
"FRA","CPI","TOT","AGRWTH","M","2017-09",0.9866454,
"FRA","CPI","TOT","AGRWTH","M","2017-10",1.056093,
"FRA","CPI","TOT","AGRWTH","M","2017-11",1.175884,
"FRA","CPI","TOT","AGRWTH","M","2017-12",1.19225,
"FRA","CPI","TOT","AGRWTH","M","2018-01",1.334528,
"FRA","CPI","TOT","AGRWTH","M","2018-02",1.183726,
"FRA","CPI","TOT","AGRWTH","M","2018-03",1.561728,
"FRA","CPI","TOT","AGRWTH","M","2018-04",1.639344,
"FRA","CPI","TOT","AGRWTH","M","2018-05",2.023492,
"FRA","CPI","TOT","AGRWTH","M","2018-06",2.023293,
"FRA","CPI","TOT","AGRWTH","M","2018-07",2.287808,
"FRA","CPI","TOT","AGRWTH","M","2018-08",2.25638,
"FRA","CPI","TOT","AGRWTH","M","2018-09",2.20073,
"FRA","CPI","TOT","AGRWTH","M","2018-10",2.20842,
"FRA","CPI","TOT","AGRWTH","M","2018-11",1.891067,
"FRA","CPI","TOT","AGRWTH","M","2018-12",1.590574,
